Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,69171451627.2465,175670569969.346,366990417129.04,493026682800.63,432198898221.967
Nigeria,NGA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,27.7728410609572,59.6277969144266,100,136.395515688896,217.868834463721
Nigeria,NGA,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,25.8387412106387,54.731527852606,100,136.395515688896,217.868834463721
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.01593475931159,6.43851652538319,8.00565591628646,2.65269329543003,-1.79425308274458
Nigeria,NGA,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,88.1,339.1,574,..,..
Nigeria,NGA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,1.09005158126034,11.9058756250214,6.94412309573588
Nigeria,NGA,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,63081914,495095302,190326678
Nigeria,NGA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.2,..,..,..,..
Nigeria,NGA,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,..,..,..,..,..
Nigeria,NGA,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,..,..,..,..,..
Nigeria,NGA,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,..,..,..,..,..
Nigeria,NGA,"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,2268463000,1858694000,3704868000,6225860000,11415171000
Nigeria,NGA,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.000303327,..,0.0047872022,0.0044375496,..
Nigeria,NGA,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,24.69,10.55,11.06,11.27,12.75
Nigeria,NGA,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,24.21,10.26,10.81,11.09,12.33
Nigeria,NGA,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,28.51,12.83,12.78,12.57,15.82
Nigeria,NGA,"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,..,..,..,..,..
Nigeria,NGA,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,..,..,..,..,..
Nigeria,NGA,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
Nigeria,NGA,"Patent applications, nonresidents",IP.PAT.NRES,..,..,..,..,598
Nigeria,NGA,"Patent applications, residents",IP.PAT.RESD,..,..,..,..,410
Nigeria,NGA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,76.926,..,..,..
Nigeria,NGA,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,..,173.632,..,..,..
Nigeria,NGA,Real effective exchange rate index (2010 = 100),PX.REX.REER,70.1612040163118,86.2675386903993,100,119.84813228421,119.501745927697
Nigeria,NGA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,86.21,84.01,86.46,82.18,82.51
Nigeria,NGA,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,..,..,..,..,..
Nigeria,NGA,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,..,..,..,..,..
Nigeria,NGA,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,..,..,..,..,..
Nigeria,NGA,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,48000,39000,32000,30000,26000
Nigeria,NGA,Wholesale price index (2010 = 100),FP.WPI.TOTL,..,..,..,..,..
Nigeria,NGA,Wanted fertility rate (births per woman),SP.DYN.WFRT,..,..,..,..,..
